Features,Seed,Accuracy
['on_neck'],6,0.0
['on_neck'],7,0.0
['on_neck'],8,0.0
['on_neck'],9,0.0
['piercing'],0,0.0
['piercing'],1,0.0
['piercing'],2,0.0
['piercing'],3,0.0
['piercing'],4,0.0
['piercing'],5,0.0
['piercing'],6,0.0
['piercing'],7,0.0
['piercing'],8,0.0
['piercing'],9,0.0
['rickshaw_man'],0,0.0
['rickshaw_man'],1,0.0
['rickshaw_man'],2,0.0
['rickshaw_man'],3,0.0
['rickshaw_man'],4,0.0
['rickshaw_man'],5,0.0
['rickshaw_man'],6,0.0
['rickshaw_man'],7,0.0
['rickshaw_man'],8,0.0
['rickshaw_man'],9,0.0
['rise_fall_three_methods'],0,0.0
['rise_fall_three_methods'],1,0.0
['rise_fall_three_methods'],2,0.0
['rise_fall_three_methods'],3,0.0
['rise_fall_three_methods'],4,0.0
['rise_fall_three_methods'],5,0.0
['rise_fall_three_methods'],6,0.0
['rise_fall_three_methods'],7,0.0
['rise_fall_three_methods'],8,0.0
['rise_fall_three_methods'],9,0.0
['separating_lines'],0,0.0
['separating_lines'],1,0.0
['separating_lines'],2,0.0
['separating_lines'],3,0.0
['separating_lines'],4,0.0
['separating_lines'],5,0.0
['separating_lines'],6,0.0
['separating_lines'],7,0.0
['separating_lines'],8,0.0
['separating_lines'],9,0.0
['shooting_star'],0,0.0
['shooting_star'],1,0.0
['shooting_star'],2,0.0
['shooting_star'],3,0.0
['shooting_star'],4,0.0
['shooting_star'],5,0.0
['shooting_star'],6,0.0
['shooting_star'],7,0.0
['shooting_star'],8,0.0
['shooting_star'],9,0.0
['short_line'],0,29.63386727688787
['short_line'],1,29.63386727688787
['short_line'],2,29.63386727688787
['short_line'],3,29.63386727688787
['short_line'],4,0.0
['short_line'],5,29.63386727688787
['short_line'],6,29.63386727688787
['short_line'],7,29.63386727688787
['short_line'],8,29.63386727688787
['short_line'],9,29.63386727688787
['spinning_top'],0,32.55148741418764
['spinning_top'],1,32.55148741418764
['spinning_top'],2,32.55148741418764
['spinning_top'],3,32.55148741418764
['spinning_top'],4,32.55148741418764
['spinning_top'],5,32.55148741418764
['spinning_top'],6,32.55148741418764
['spinning_top'],7,32.55148741418764
['spinning_top'],8,32.55148741418764
['spinning_top'],9,33.18077803203661
['stalled_pattern'],0,0.0
['stalled_pattern'],1,0.0
['stalled_pattern'],2,0.0
['stalled_pattern'],3,0.0
['stalled_pattern'],4,0.0
['stalled_pattern'],5,0.0
['stalled_pattern'],6,0.0
['stalled_pattern'],7,0.0
['stalled_pattern'],8,0.0
['stalled_pattern'],9,0.0
['stick_sandwich'],0,0.0
['stick_sandwich'],1,0.0
['stick_sandwich'],2,0.0
['stick_sandwich'],3,0.0
['stick_sandwich'],4,0.0
['stick_sandwich'],5,0.0
['stick_sandwich'],6,0.0
['stick_sandwich'],7,0.0
['stick_sandwich'],8,0.0
['stick_sandwich'],9,0.0
['takuri'],0,0.0
['takuri'],1,0.0
['takuri'],2,0.0
['takuri'],3,0.0
['takuri'],4,0.0
['takuri'],5,0.0
['takuri'],6,0.0
['takuri'],7,0.0
['takuri'],8,0.0
['takuri'],9,0.0
['tasuki_gap'],0,0.0
['tasuki_gap'],1,0.0
['tasuki_gap'],2,0.0
['tasuki_gap'],3,0.0
['tasuki_gap'],4,0.0
['tasuki_gap'],5,0.0
['tasuki_gap'],6,0.0
['tasuki_gap'],7,0.0
['tasuki_gap'],8,0.0
['tasuki_gap'],9,0.0
['thrusting'],0,0.0
['thrusting'],1,0.0
['thrusting'],2,0.0
['thrusting'],3,0.0
['thrusting'],4,0.0
['thrusting'],5,0.0
['thrusting'],6,0.0
['thrusting'],7,0.0
['thrusting'],8,0.0
['thrusting'],9,0.0
['tristar'],0,0.0
['tristar'],1,0.0
['tristar'],2,0.0
['tristar'],3,0.0
['tristar'],4,0.0
['tristar'],5,0.0
['tristar'],6,0.0
['tristar'],7,0.0
['tristar'],8,0.0
['tristar'],9,0.0
['unique_3_river'],0,0.0
['unique_3_river'],1,0.0
['unique_3_river'],2,0.0
['unique_3_river'],3,0.0
['unique_3_river'],4,0.0
['unique_3_river'],5,0.0
['unique_3_river'],6,0.0
['unique_3_river'],7,0.0
['unique_3_river'],8,0.0
['unique_3_river'],9,0.0
['upside_gap_2_crows'],0,0.0
['upside_gap_2_crows'],1,0.0
['upside_gap_2_crows'],2,0.0
['upside_gap_2_crows'],3,0.0
['upside_gap_2_crows'],4,0.0
['upside_gap_2_crows'],5,0.0
['upside_gap_2_crows'],6,0.0
['upside_gap_2_crows'],7,0.0
['upside_gap_2_crows'],8,0.0
['upside_gap_2_crows'],9,0.0
['side_gap_3_methods'],0,0.0
['side_gap_3_methods'],1,0.0
['side_gap_3_methods'],2,0.0
['side_gap_3_methods'],3,0.0
['side_gap_3_methods'],4,0.0
['side_gap_3_methods'],5,0.0
['side_gap_3_methods'],6,0.0
['side_gap_3_methods'],7,0.0
['side_gap_3_methods'],8,0.0
['side_gap_3_methods'],9,0.0
['ad'],0,39.3020594965675
['ad'],1,39.3020594965675
['ad'],2,39.3020594965675
['ad'],3,39.3020594965675
['ad'],4,39.3020594965675
['ad'],5,39.3020594965675
['ad'],6,39.3020594965675
['ad'],7,39.3020594965675
['ad'],8,39.3020594965675
['ad'],9,39.3020594965675
['adosc'],0,33.75286041189931
['adosc'],1,33.75286041189931
['adosc'],2,33.75286041189931
['adosc'],3,33.75286041189931
