Features,Seed,Accuracy,Profit,Label Order
"['open_pc', 'tr']",9,28.753993610223645,639.2758780036984,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'rsi']",0,26.198083067092654,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'rsi']",1,26.198083067092654,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'rsi']",2,31.948881789137378,226.32514044943855,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'rsi']",3,35.78274760383386,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'rsi']",4,25.559105431309902,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'rsi']",5,26.198083067092654,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'rsi']",6,31.948881789137378,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'rsi']",7,31.948881789137378,226.32514044943855,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'rsi']",8,26.198083067092654,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'rsi']",9,26.198083067092654,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'slow_k']",0,31.309904153354633,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'slow_k']",1,30.031948881789138,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'slow_k']",2,32.9073482428115,97.17971283001316,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'slow_k']",3,32.9073482428115,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'slow_k']",4,30.031948881789138,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'slow_k']",5,30.031948881789138,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'slow_k']",6,32.9073482428115,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'slow_k']",7,32.9073482428115,97.17971283001316,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'slow_k']",8,30.031948881789138,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'slow_k']",9,30.670926517571885,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'slow_d']",0,29.073482428115017,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'slow_d']",1,29.712460063897762,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'slow_d']",2,29.073482428115017,97.17971283001316,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'slow_d']",3,37.69968051118211,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'slow_d']",4,29.712460063897762,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'slow_d']",5,29.712460063897762,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'slow_d']",6,29.073482428115017,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'slow_d']",7,29.073482428115017,97.17971283001316,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'slow_d']",8,29.712460063897762,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'slow_d']",9,29.712460063897762,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'three_black_crows']",0,12.460063897763577,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'three_black_crows']",1,12.460063897763577,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'three_black_crows']",2,42.49201277955272,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'three_black_crows']",3,42.49201277955272,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'three_black_crows']",4,12.460063897763577,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'three_black_crows']",5,12.460063897763577,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'three_black_crows']",6,12.460063897763577,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'three_black_crows']",7,42.49201277955272,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'three_black_crows']",8,12.460063897763577,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'three_black_crows']",9,12.460063897763577,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'three_inside']",0,12.140575079872203,3021.946524904415,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'three_inside']",1,12.140575079872203,3021.946524904415,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'three_inside']",2,12.140575079872203,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'three_inside']",3,42.81150159744409,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'three_inside']",4,43.45047923322684,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'three_inside']",5,12.140575079872203,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'three_inside']",6,42.81150159744409,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'three_inside']",7,12.140575079872203,3021.946524904415,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'three_inside']",8,12.140575079872203,3021.946524904415,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'three_inside']",9,12.140575079872203,3021.946524904415,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'three_lines']",0,12.460063897763577,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'three_lines']",1,42.17252396166134,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'three_lines']",2,12.779552715654951,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'three_lines']",3,42.17252396166134,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'three_lines']",4,42.17252396166134,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'three_lines']",5,42.17252396166134,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'three_lines']",6,12.460063897763577,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'three_lines']",7,42.17252396166134,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'three_lines']",8,42.17252396166134,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'three_lines']",9,12.460063897763577,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'three_outside']",0,13.418530351437699,3288.3757596758714,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'three_outside']",1,13.418530351437699,3288.3757596758714,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'three_outside']",2,13.418530351437699,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'three_outside']",3,41.533546325878596,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'three_outside']",4,42.81150159744409,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'three_outside']",5,42.81150159744409,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'three_outside']",6,13.418530351437699,0.0,"['Bear', 'Bull', 'Choppy']"
